экран,кнопка,название,действие,настройка,текст_или_цель,заметка
AI OS,K10,Правила,Website,System → Website,https://github.com/sergstack/AI-OS/blob/main/ChatGPT/%5BAI%20OS%5D/Knowledge/GOVERNANCE_RULES.md,
AI OS,K11,Приём,Text,System → Text,"# AI OS — ПРИЁМ / ACCEPTANCE GATE

Результат, вывод, KB-update или workflow:
[вставить]

Задача:
Проверь, можно ли принять результат как рабочий для [AI OS], или его нужно доработать / заблокировать / передать в другой проект.

Проверь acceptance checklist:
- KB files checked;
- evidence listed;
- confidence label set;
- weak / unsupported claims separated;
- routing clear;
- risks named;
- limitations visible;
- next step concrete;
- no blocked promotion items recommended as current implementation;
- smoke QA не назван production readiness.

Верни:
KB проверен:
Источники:
Acceptance status: pass / revise / blocked
Evidence:
Missing items:
Residual risks:
What must change before acceptance:
What not to claim:
Owner project:
Next step:",Acceptance / promotion gate
AI OS,K12,Сбои,Text,System → Text,"# AI OS — СБОИ / FAILURE MODES

Ответ, workflow, KB-идея или handoff:
[вставить]

Задача:
Найди, как это может сломаться внутри [AI OS]. Проверяй не содержание ради содержания, а failure modes governance/evidence/routing.

Проверь сбои:
- ответ без KB grounding;
- нет source_id / card_id / evidence references, если нужны;
- weak evidence стало fact;
- unsupported claim не помечен;
- свежий факт дан без fresh check;
- route выбран неверно;
- handoff без constraints / acceptance criteria;
- blocked promotion item предложен как текущая реализация;
- raw dump предложен как knowledge source;
- вывод сильнее данных.

Верни:
Failure status: pass / revise / blocked
Failure modes table:
| Failure mode | Severity | Trigger | Detection check | Required fix | Owner project |
|---|---|---|---|---|---|
Main blocker:
Safer version:
Routing:
Next step:",AI OS failure modes
AI OS,K13,Статус БЗ,Text,System → Text,"# AI OS — СТАТУС БЗ / KB COVERAGE CHECK

Тема, область или вопрос:
[вставить]

Задача:
Проверь, что именно покрыто в KB по этой теме, а что отсутствует или требует review. Не заполняй пробелы догадками.

Проверь:
- релевантные KB-файлы / Gold cards;
- support_status;
- confidence;
- evidence_count;
- limitations;
- review queue;
- release / promotion status;
- есть ли blocked items.

Верни:
KB проверен:
Источники:
Coverage status: strong / partial / weak / not found
Supported items:
Weak or missing items:
Limitations:
Review queue impact:
Promotion / acceptance status:
What can be answered now:
What cannot be answered from KB:
Routing:
Next step:",KB coverage / status check
AI OS,K14,Источники,Text,System → Text,"# AI OS — ИСТОЧНИКИ / SOURCE MAP

Тема или утверждение:
[вставить]

Задача:
Собери карту источников и evidence inventory. Не делай большой пересказ; покажи, на чём можно строить ответ.

Проверь и раздели:
- governed KB files;
- working project files;
- release / manifest / confidence files;
- review queue;
- fresh external sources, если нужны;
- missing sources.

Верни:
KB проверен:
Source map:
| Source | Type | What it supports | Evidence status | Limitation |
|---|---|---|---|---|
Strongest evidence:
Weak / missing evidence:
Conflicts or gaps:
Fresh check needed:
Safe claims:
Unsafe claims:
Routing:
Next step:",Source map / evidence inventory
AI OS,K15,Практика,Text,System → Text,"# AI OS — ПРАКТИКА / NEXT SAFE ACTION

Тема, вывод или предыдущий ответ:
[вставить]

Задача:
Сформулируй один следующий безопасный практический шаг. Не строй большую стратегию и не уходи в реализацию без gate.

Проверь:
- что уже подтверждено в KB;
- какой evidence status;
- есть ли blocker;
- нужен ли fresh check;
- какой owner project;
- какие acceptance criteria;
- что нельзя делать сейчас.

Верни:
KB проверен:
Current status: draft / supported / weak / blocked / needs handoff
Best next step:
Why this step:
Owner project:
Inputs required:
Acceptance criteria:
Risk if skipped:
What not to do now:
Routing:
Итог:
Next step:",Next safe action / practical step
РЕШЕНИЯ,K1,⬆ НАЗАД,Navigation Back,штатный возврат из папки,Built-in folder back,
РЕШЕНИЯ,K2,Решение,Text,System → Text,"# РЕШЕНИЯ — DECISION MEMO

Вопрос:
[описать]

Режим:
FAST / STANDARD / DEEP

Задача:
Подготовь decision memo в [Thinking]. Не делай расчёты вместо [Analytics], не проектируй код вместо [Codex], не оформляй финальный текст вместо [LLM], если нужен отдельный handoff.

Собери:
1. Frame:
- какой вопрос решаем;
- какой результат нужен;
- кто пользователь решения;
- цена ошибки;
- обратимость решения.

2. Facts / Assumptions / Unknowns:
- FACT:
- ASSUMPTION:
- HYPOTHESIS:
- UNKNOWN:
- BLOCKER:

3. Options:
Сравни 2–4 варианта, включая «ничего не делать».

4. Criteria:
- риск;
- скорость;
- стоимость;
- обратимость;
- evidence strength;
- operational complexity;
- dependency on [Analytics] / [LLM] / [Codex] / [AI OS].

5. Risk review:
- downside;
- hidden assumptions;
- failure modes;
- detection checks;
- mitigations.

6. Decision:
- recommendation;
- why now;
- what not to do;
- what to defer.

Верни:
- decision:
- status: черновик / кандидат решения / рекомендовано / заблокировано / нужна передача / принято / устарело
- confidence: X/10
- why not 10/10:
- acceptance criteria:
- revisit trigger:
- next review:
- handoff / next step:
",Decision memo / итоговое решение
РЕШЕНИЯ,K3,Варианты,Text,System → Text,"# РЕШЕНИЯ — OPTIONS MATRIX

Вопрос:
[описать]

Контекст:
[факты / ограничения / цель]

Задача:
Собери 2–4 реалистичных варианта решения в [Thinking]. Обязательно включи вариант «ничего не делать».

Для каждого варианта определи:
- что означает вариант;
- когда он уместен;
- плюсы;
- минусы;
- риск;
- стоимость / трудозатраты, если известно;
- обратимость;
- evidence strength;
- зависимости от других проектов.

Сравни по критериям:
- скорость;
- качество;
- стоимость;
- риск;
- доказательность;
- сложность;
- обратимость.

Верни:
1. Decision question:
2. Options table:
| Option | What it means | Best when | Pros | Cons | Risk | Cost | Reversibility | Evidence |
|---|---|---|---|---|---|---|---|---|
3. Comparison table:
4. Recommended option:
5. Why not the alternatives:
6. Critical assumptions:
7. Status:
8. Confidence:
9. Next step:
",Options matrix with trade-offs
РЕШЕНИЯ,K4,Риски,Text,System → Text,"# РЕШЕНИЯ — RISK REVIEW

Решение / идея / план:
[описать]

Проверь как @judge в [Thinking]:
- unsupported claims;
- weak evidence;
- hidden assumptions;
- missing alternatives;
- ignored downside;
- wrong project routing;
- premature automation;
- missing acceptance criteria.

Раздели:
- FACT:
- ASSUMPTION:
- HYPOTHESIS:
- BLOCKER:

Оцени риски:
| Risk | Severity | Trigger | Impact | Detection check | Mitigation | Owner | Reversibility |
|---|---|---|---|---|---|---|---|

Верни:
- risk level: low / medium / high
- main blocker:
- weak assumptions:
- what would make this fail:
- safer next step:
- decision: proceed / revise / stop / handoff
- status:
- confidence:
",Judge-style risk review
РЕШЕНИЯ,K5,Допущения,Text,System → Text,"# РЕШЕНИЯ — ASSUMPTION AUDIT

Вопрос / решение:
[описать]

Задача:
Проведи аудит допущений в [Thinking]. Не превращай гипотезы в факты.

Раздели входной контекст:
- FACT: подтверждено входными данными / источниками;
- ASSUMPTION: принято для рассуждения, но не доказано;
- HYPOTHESIS: полезная версия, которую надо проверить;
- UNKNOWN: неизвестно;
- BLOCKER: без этого нельзя принимать решение.

Для каждого допущения оцени:
| Assumption | Why needed | Evidence | Risk if false | How to verify | Owner | Deadline | Decision impact |
|---|---|---|---|---|---|---|---|

Верни:
1. Critical assumptions:
2. Weak assumptions:
3. Blockers:
4. What can be decided now:
5. What cannot be decided yet:
6. Required verification:
7. Status:
8. Confidence:
9. Next step:
",Assumption audit / blockers
РЕШЕНИЯ,K6,Сценарии,Text,System → Text,"# РЕШЕНИЯ — SCENARIO ANALYSIS

Вопрос:
[описать]

Контекст решения:
[описать]

Задача:
Построй сценарный анализ в [Thinking]. Не выдумывай числа. Если нужны расчёты, sensitivity или финансовый эффект — отметь handoff в [Analytics].

Построй 3 сценария:
1. Base
2. Optimistic
3. Downside

Для каждого сценария определи:
- что происходит;
- ключевые допущения;
- trigger;
- leading indicators;
- downside;
- reversibility;
- decision implication.

Верни:
| Scenario | What happens | Key assumptions | Trigger | Leading indicators | Downside | Reversibility | Decision implication |
|---|---|---|---|---|---|---|---|

Дополнительно:
- cross-scenario risks:
- what would change the decision:
- handoff required: [Analytics] / [LLM] / [Codex] / [AI OS] / none
- recommendation:
- status:
- confidence:
- next step:
",Base / optimistic / downside
РЕШЕНИЯ,K7,Критерии,Text,System → Text,"# РЕШЕНИЯ — CRITERIA / DECISION RULES

Вопрос:
[описать]

Варианты, если уже есть:
[вставить]

Задача:
Определи критерии выбора в [Thinking] и проверь, какое решение будет рациональным при текущих ограничениях.

Собери критерии:
- speed;
- quality;
- cost;
- risk;
- reversibility;
- evidence strength;
- operational complexity;
- dependency on other projects;
- personal / stakeholder impact, если применимо.

Для каждого критерия укажи:
| Criterion | Weight 1–5 | Why it matters | Measurement / signal | Deal-breaker threshold |
|---|---:|---|---|---|

Верни:
1. Decision criteria:
2. Deal-breakers:
3. Trade-offs:
4. Which option wins under current criteria:
5. What changes the decision:
6. Missing evidence:
7. Status:
8. Confidence:
9. Next step:
",Weighted criteria / decision rules
РЕШЕНИЯ,K8,Пересмотр,Text,System → Text,"# РЕШЕНИЯ — REVISIT TRIGGER

Решение / кандидат решения:
[описать]

Текущий статус:
черновик / кандидат решения / рекомендовано / заблокировано / нужна передача / принято / устарело

Задача:
Определи условия пересмотра решения в [Thinking]. Решение не должно жить вечно без проверки.

Проверь возможные triggers:
- появились новые данные;
- изменились cost / risk / timing / scope;
- QA fail;
- допущение оказалось неверным;
- implementation feedback из [Analytics] / [LLM] / [Codex] противоречит решению;
- owner rejects hypothesis;
- решение становится трудно обратимым.

Верни:
1. Decision:
2. Current status:
3. Revisit triggers:
4. Leading indicators:
5. Next review date / condition:
6. Owner:
7. What to monitor:
8. What would force rollback / pause:
9. Confidence:
10. Next step:
",Revisit trigger / next review
РЕШЕНИЯ,K9,В Анализ,Text,System → Text,"# ПЕРЕДАЧА ИЗ [Thinking] В [Analytics]

От: [Thinking]
Кому: [Analytics]

Тип задачи:
[calculation / scenario quantification / metric check / budget impact / plan-fact / data validation]

Decision context:
- вопрос решения:
- варианты для проверки:
- период:
- метрики:
- единицы / валюта:
- допущения:
- что нужно посчитать:
- что нельзя считать без данных:

Expected analytical output:
- таблица / расчёт / sensitivity / dashboard / data quality check

Acceptance criteria:
- формулы видны;
- источники указаны;
- assumptions отделены от facts;
- limitations указаны;
- выводы не сильнее данных.

Risks:
Evidence / confidence:
Open questions:
Next step:
",Thinking → Analytics handoff
РЕШЕНИЯ,K10,В LLM,Text,System → Text,"# ПЕРЕДАЧА ИЗ [Thinking] В [LLM]

От: [Thinking]
Кому: [LLM]

Тип задачи:
[memo rewrite / narrative / prompt / context package / revisor]

Decision context:
- вопрос:
- recommended decision:
- status:
- audience:
- desired tone:

Передавать только curated context:
- verified facts;
- assumptions clearly marked;
- options considered;
- risks;
- limitations;
- confidence;
- accepted terminology.

Не передавать:
- raw dump;
- secrets / API keys / .env;
- неподтверждённые claims как facts;
- приватные данные без разрешения.

Expected output:
[описать]

Acceptance criteria:
- facts / interpretation / recommendation разделены;
- unsupported claims помечены или удалены;
- confidence и limitations сохранены;
- стиль стал яснее, но смысл не усилен;
- revisor не добавляет новые факты.

Risks:
Open questions:
Next step:
",Thinking → LLM handoff
РЕШЕНИЯ,K11,В Codex,Text,System → Text,"# ПЕРЕДАЧА ИЗ [Thinking] В [Codex]

ВНИМАНИЕ:
Использовать только если решение уже имеет статус «рекомендовано» или «принято».
Если решение не принято — сначала вернуть в [Thinking] / [Analytics].

От: [Thinking]
Кому: [Codex]

Тип задачи:
[implementation / automation / tests / file generation]

Accepted decision:
- decision:
- status:
- owner:
- acceptance criteria:
- constraints:
- what not to change:

Files to inspect:
-

Files to change:
-

Forbidden actions:
- не менять business logic без acceptance;
- не добавлять secrets / API keys / .env;
- не править main branch напрямую;
- не сливать автоматически;
- не расширять scope без согласования.

Expected outputs:
-

Tests / checks:
-

Rollback:
-

Residual risks:
Open questions:
Next step:
",Thinking → Codex after accepted decision
РЕШЕНИЯ,K12,Участники,Text,System → Text,"# РЕШЕНИЯ — STAKEHOLDER MAP

Решение / ситуация:
[описать]

Участники:
[кто вовлечён]

Задача:
Разобрать участников, интересы, сопротивление и коммуникационные риски в [Thinking].

Для каждого участника определи:
| Stakeholder | Role | Interest | Incentive | Concern | Influence | Support / resist / neutral | Needed action |
|---|---|---|---|---|---|---|---|

Проверь:
- кто принимает решение;
- кто влияет неформально;
- кто несёт последствия;
- где конфликт интересов;
- где скрытое сопротивление;
- где нужно согласование;
- где решение может сломаться из-за коммуникации.

Верни:
1. Stakeholder map:
2. Main alignment risk:
3. Communication risks:
4. Required approvals:
5. Safer framing:
6. What not to say / not to promise:
7. Status:
8. Confidence:
9. Next step:
",Stakeholder / incentives map
РЕШЕНИЯ,K13,Остановка,Text,System → Text,"# РЕШЕНИЯ — STOP / PAUSE / ROLLBACK

Решение / план:
[описать]

Задача:
Определи условия остановки, паузы и отката в [Thinking].

Раздели:
- STOP: когда продолжать нельзя;
- PAUSE: когда нужно остановиться и собрать данные;
- ROLLBACK: когда нужно вернуться к предыдущему состоянию;
- ESCALATE: когда нужно передать выше / в другой проект.

Проверь stop conditions:
- нет ключевых данных;
- цена ошибки выше ожидаемой;
- риск стал необратимым;
- QA fail;
- владелец не подтверждён;
- acceptance criteria не определены;
- появились новые blockers;
- решение требует [Analytics] / [LLM] / [Codex], но handoff не сделан.

Верни:
| Condition | Type: stop/pause/rollback/escalate | Trigger | Detection check | Owner | Action |
|---|---|---|---|---|---|

Итог:
- current verdict: proceed / pause / stop / rollback / handoff
- main blocker:
- minimum safe next step:
- confidence:
",Stop / pause / rollback
РЕШЕНИЯ,K14,Итог,Text,System → Text,"# РЕШЕНИЯ — FINAL DECISION RECORD

Вопрос:
[описать]

Черновик решения / обсуждение:
[вставить]

Задача:
Собери финальную запись решения в [Thinking]. Не усиливай выводы выше evidence.

Проверь перед финалом:
- вопрос сформулирован;
- facts отделены от assumptions;
- рассмотрены 2–4 варианта;
- вариант «ничего не делать» рассмотрен;
- критерии выбора указаны;
- риски и blockers видны;
- acceptance criteria есть;
- revisit trigger есть;
- handoff нужен / не нужен;
- owner указан.

Верни:
1. Decision:
2. Status: черновик / кандидат решения / рекомендовано / заблокировано / нужна передача / принято / устарело
3. Owner:
4. Date:
5. Context:
6. Facts:
7. Assumptions:
8. Options considered:
9. Recommendation:
10. Why not alternatives:
11. Risks / blockers:
12. Acceptance criteria:
13. Revisit trigger:
14. Next review:
15. Handoff:
16. Confidence:
17. What not to claim:
18. Next step:
",Final decision record
РЕШЕНИЯ,K15,Проект,Website,System → Website,<CHATGPT_THINKING_PROJECT_URL>,
АНАЛИЗ,K1,⬆ НАЗАД,Navigation Back,штатный возврат из папки,Built-in folder back,
АНАЛИЗ,K2,Панель,Text,System → Text,"# АНАЛИЗ — ПАНЕЛЬ / DASHBOARD

Бизнес-вопрос:
[описать]

Контекст:
- аудитория:
- решение, для которого нужна панель:
- период:
- валюта / единицы:
- доступные данные:
- отсутствующие данные:

Задача:
Спроектируй аналитическую панель внутри [Analytics]. Не передавай в Codex, если не требуется реализация, код или автоматизация.

Обязательно определи:
- KPI / показатели;
- grain;
- period;
- filters / slicers;
- formulas;
- source mart;
- QA checks;
- limitations.

Главные файлы:
- stage_main_full: создать / спроектировать; без метрик, классификаторов и выводов;
- mart_main_full: источник показателей, flags, QA, evidence и confidence;
- mart_main_tz / mart_main_compact: управленческая версия для панели;
- dashboard slices: только из mart_main_full.

Верни:
1. Question / scope:
2. Audience / decision:
3. Data available / missing:
4. Data contract status:
5. Main files:
6. KPI catalog:
7. Dashboard structure:
8. Filters / slicers:
9. Chart specs:
   - chart_name:
   - purpose:
   - source_mart:
   - metric:
   - period:
   - grain:
   - filter:
   - caption_claim:
   - limitation:
10. QA:
11. What cannot be claimed:
12. Acceptance status:
13. Next step:",Analytics dashboard / executive panel
АНАЛИЗ,K3,Показатель,Text,System → Text,"# АНАЛИЗ — ПОКАЗАТЕЛЬ / METRIC CARD

Показатель или бизнес-вопрос:
[описать]

Контекст:
- аудитория:
- период:
- валюта / единицы:
- источники данных:
- известные ограничения:

Задача:
Сформируй Definition Card для показателя в [Analytics]. Расчётная логика должна быть deterministic, без скрытой LLM-интерпретации.

Определи:
- business meaning;
- formula;
- numerator / denominator, если применимо;
- grain;
- period logic;
- filters / exclusions;
- source fields;
- required mappings;
- null / duplicate / currency policy;
- reconciliation checks.

Главные файлы:
- stage_main_full: какие поля нужны без метрик и классификаторов;
- mart_main_full: где живёт формула и QA fields;
- mart_main_tz / mart_main_compact: как показатель показывать руководителю.

Верни:
1. Metric name:
2. Business purpose:
3. Formula:
4. Grain / period / filters:
5. Required source columns:
6. Stage requirements:
7. Mart requirements:
8. QA checks:
9. Edge cases:
10. Limitations:
11. Forbidden claims:
12. Confidence:
13. Next step:",Metric definition card
АНАЛИЗ,K4,Исх→Слой,Text,System → Text,"# АНАЛИЗ — ИСХОДНИКИ → STAGE_MAIN_FULL

Бизнес-вопрос:
[описать]

Входные данные:
[файлы / таблицы / поля / период]

Задача:
Спроектируй слой RAW → stage_main_full для аналитического кейса в [Analytics].

Правила:
- RAW не изменять смыслово: только inventory, source metadata, raw totals, raw column list.
- stage_main_full должен быть очищенным, нормализованным и типизированным.
- В stage_main_full запрещены бизнес-метрики, классификаторы, risk labels, confidence labels, интерпретации и memo-текст.
- Stage slices можно проектировать только после stage_main_full.
- Если данных мало, явно зафиксируй gaps и assumptions.

Верни:
1. Question / scope:
2. Input inventory:
3. Data contract draft:
   - dataset:
   - owner:
   - source:
   - period:
   - grain:
   - primary keys:
   - required columns:
   - column types:
   - date logic:
   - currency / units:
   - null policy:
   - duplicate policy:
   - freshness rule:
   - mapping rules:
4. RAW checks:
5. stage_main_full spec:
   - grain:
   - required columns:
   - transformations:
   - lineage fields:
   - QA fields:
6. Reconciliation checks:
7. Data risks:
8. BLOCKERS:
9. Next step:",RAW → stage_main_full
АНАЛИЗ,K5,План/Факт,Text,System → Text,"# АНАЛИЗ — ПЛАН / ФАКТ

Бизнес-вопрос:
[описать]

Данные:
[план, факт, период, разрезы, валюта]

Задача:
Подготовь план-факт анализ внутри [Analytics] с проверяемой логикой расчёта.

Обязательно:
- зафиксируй grain, period, filters и currency / units;
- определи formulas: Plan, Fact, Delta, Delta %, ABS Delta, share_of_total;
- отдели real variance, timing, data issue, mapping issue и hypothesis;
- ранжируй отклонения по ABS Delta / materiality;
- не называй причину подтверждённой без evidence.

Главные файлы:
- stage_main_full: входные поля без бизнес-метрик;
- mart_main_full: все расчёты, row_type, timing_status, risk_basis, confidence;
- mart_main_tz / mart_main_compact: top deviations и управленческий вывод.

Верни:
1. Scope:
2. Data contract status:
3. Calculation method:
4. Mart fields required:
5. Top deviations logic:
6. Findings:
   - DATA FACT:
   - CALCULATION RESULT:
   - INTERPRETATION:
   - HYPOTHESIS:
   - RECOMMENDATION:
7. Risks with risk_basis:
8. Actions with owner / due date / status, если применимо:
9. QA / reconciliation:
10. Limitations:
11. What cannot be claimed:
12. Acceptance status:
13. Next step:",Plan / fact variance analysis
АНАЛИЗ,K6,Кач.данн.,Text,System → Text,"# АНАЛИЗ — КАЧЕСТВО ДАННЫХ / DQ GATE

Данные или кейс:
[описать / вставить]

Задача:
Проверь качество данных для аналитического кейса в [Analytics] до выводов, графиков и memo.

Проверь:
- required files exist;
- required columns exist;
- data types valid;
- dates parsed correctly;
- currency / units normalized;
- null policy applied;
- duplicate policy applied;
- freshness checked;
- mapping tables checked;
- unmatched rows listed;
- RAW total = STAGE total, если применимо;
- STAGE total = MART total, если применимо.

Главные файлы:
- stage_main_full exists or designed;
- stage_main_full has no metrics / classifiers;
- mart_main_full exists or designed;
- mart_main_tz / compact exists or designed;
- slices are derived from mart_main_full.

Верни:
1. DQ status: pass / fail / blocked
2. Data contract gaps:
3. Required checks:
4. Nulls:
5. Duplicates:
6. Unmatched rows:
7. Freshness issues:
8. Reconciliation status:
9. Impact on analysis:
10. BLOCKERS:
11. Allowed conclusions:
12. Forbidden conclusions:
13. Next step:",Data quality gate
АНАЛИЗ,K7,Витрина,Text,System → Text,"# АНАЛИЗ — ВИТРИНА / MART DESIGN

Бизнес-вопрос:
[описать]

Данные:
[что доступно]

Задача:
Спроектируй mart layer для анализа в [Analytics].

Обязательно:
- mart_main_full — полный источник истины для анализа, slices, charts и evidence;
- mart_main_tz / mart_main_compact — короткая версия для руководителя / ТЗ;
- все slices строятся только из mart_main_full;
- формулы метрик не скрывать в тексте prompt;
- не делать isolated mini-marts из raw slices.

Верни:
1. mart_main_full:
   - business purpose:
   - audience:
   - grain:
   - period:
   - keys:
   - source stage files:
   - metrics:
   - formulas:
   - dimensions:
   - classifiers:
   - filters:
   - QA totals:
   - evidence fields:
   - limitations:
2. mart_main_tz / mart_main_compact:
   - audience:
   - shortened field list:
   - headline metrics:
   - risk / confidence fields:
   - reference back to mart_main_full:
3. Required slices:
   - used_for:
   - source_mart:
   - metric:
   - grain:
   - filter:
4. QA:
   - STAGE total = MART total:
   - formulas documented:
   - unmatched rows:
   - limitations:
5. Acceptance status:
6. Next step:",mart_main_full + compact mart design
АНАЛИЗ,K8,Отклон.,Text,System → Text,"# АНАЛИЗ — ОТКЛОНЕНИЯ / DRIVER ANALYSIS

Бизнес-вопрос:
[описать]

Данные:
[период, факт/план/база, разрезы]

Задача:
Найди и объясни отклонения внутри [Analytics] через variance / driver / contribution logic.

Обязательно:
- зафиксируй metric, grain, period, filters;
- используй mart_main_full или спроектируй его перед анализом;
- ранжируй отклонения по ABS Delta / materiality;
- отдели confirmed driver от hypothesis;
- timing candidate не называй confirmed timing;
- risk указывай только с risk_basis;
- action указывай только с owner / due date / status.

Верни:
1. Question / scope:
2. Source mart / required mart:
3. Method:
4. Top deviations table spec:
   - item:
   - plan / baseline:
   - fact:
   - delta:
   - abs_delta:
   - share_of_total:
   - row_type:
   - driver_candidate:
   - driver_confirmed:
   - confidence:
5. Findings:
6. Hypotheses to verify:
7. Risks:
8. Recommended actions:
9. QA:
10. Limitations:
11. What cannot be claimed:
12. Next step:",Deviation / driver analysis
АНАЛИЗ,K9,Источник,Text,System → Text,"# АНАЛИЗ — ИСТОЧНИК / DATA CONTRACT REVIEW

Источник или набор данных:
[описать]

Задача:
Проверь пригодность источника для аналитического кейса в [Analytics] и собери data contract.

Определи:
- source system / file;
- owner / business owner / technical owner;
- refresh frequency;
- load timestamp;
- period;
- grain;
- primary keys;
- foreign keys;
- required columns;
- optional columns;
- column types;
- allowed values;
- date logic;
- currency / units;
- null policy;
- duplicate policy;
- freshness rule;
- mapping rules.

Проверь связь с главными файлами:
- какие поля идут в stage_main_full;
- какие расчётные поля появятся только в mart_main_full;
- что попадёт в mart_main_tz / compact;
- какие slices допустимы только после mart_main_full.

Верни:
1. Source inventory:
2. Data contract status: complete / partial / blocked
3. Missing fields:
4. Mapping risks:
5. Reconciliation approach:
6. DQ checks:
7. Analysis allowed:
8. Analysis blocked:
9. Next step:",Source / data contract review
АНАЛИЗ,K10,Огранич.,Text,System → Text,"# АНАЛИЗ — ОГРАНИЧЕНИЯ / STOP CONDITIONS

Кейс, вывод или расчёт:
[вставить]

Задача:
Проверь, какие выводы можно и нельзя делать в [Analytics].

Стоп-условия для управленческого вывода:
- нет data contract;
- grain не определён;
- DQ status = Fail;
- totals не reconciled;
- metric formula missing;
- currency / units mixed;
- Low Confidence подаётся как финальная причина;
- timing candidate подаётся как confirmed timing;
- risk указан без risk_basis;
- action указан без owner / due date / status;
- INOUT используется без Definition Card;
- chart caption сильнее данных;
- нет mart_main_full для mart-based conclusion.

Верни:
1. Verdict: allowed / revise / blocked
2. BLOCKERS:
3. LIMITATIONS:
4. Unsupported claims:
5. Claims allowed as DATA FACT:
6. Claims allowed as CALCULATION RESULT:
7. Claims allowed only as HYPOTHESIS:
8. Required QA before publication:
9. Required data / fields:
10. Next step:",Limitations / stop conditions
АНАЛИЗ,K11,В LLM,Text,System → Text,"# ПЕРЕДАЧА ИЗ [Analytics] В [LLM]

От: [Analytics]
Кому: [LLM]
Тип задачи:
[редактура / narrative / prompt / context package / judge]

Цель:
[описать]

Контекст:
[коротко]

Передавать только curated context:
- verified facts;
- reconciled metrics;
- source mart / table references;
- compact tables;
- limitations;
- confidence;
- desired tone / output format.

Не передавать:
- raw dump;
- неподтверждённые claims как facts;
- secrets / API keys / .env;
- сырые логи;
- chunks / embeddings / vector DB;
- private client data без явного разрешения.

Аналитическая база:
- stage_main_full:
- mart_main_full:
- mart_main_tz / compact:
- QA status:
- reconciliation status:

Ожидаемый результат:
[описать]

Критерии приёмки:
- facts и interpretation разделены;
- unsupported claims удалены или помечены;
- limitations видны;
- confidence указан;
- текст не сильнее evidence.

Риски:
Открытые вопросы:
Next step:",Analytics → LLM handoff with verified facts only
АНАЛИЗ,K12,В Codex,Text,System → Text,"# ПЕРЕДАЧА ИЗ [Analytics] В [Codex]

От: [Analytics]
Кому: [Codex]
Тип задачи:
[implementation / automation / file generation / tests / pipeline]

Цель:
[описать]

Контекст, уже решённый в [Analytics]:
- business question:
- period:
- grain:
- metrics:
- formulas:
- data contract status:
- stage_main_full spec:
- mart_main_full spec:
- mart_main_tz / compact spec:
- QA requirements:

Files to inspect:
-

Files to change:
-

Constraints:
- не менять business logic без acceptance;
- не строить mini-marts из raw slices;
- не скрывать unresolved analysis в кодовой задаче;
- не добавлять secrets / API keys / .env;
- не править main branch напрямую;
- не сливать изменения автоматически;
- не расширять scope без согласования.

Expected outputs:
-

Tests / checks:
-

Acceptance criteria:
- stage_main_full создан / обновлён согласно spec;
- mart_main_full создан / обновлён согласно formulas;
- compact mart создан из full mart;
- slices derived from mart_main_full;
- reconciliation checks passed or failed with explanation;
- residual risks listed;
- rollback notes provided.

Риски:
Открытые вопросы:
Next step:",Analytics → Codex implementation handoff
АНАЛИЗ,K13,Вопросы,Text,System → Text,"# АНАЛИЗ — ВОПРОСЫ / GAP CHECK

Бизнес-вопрос:
[описать]

Доступный контекст:
[что известно]

Задача:
Определи, каких данных и решений не хватает для корректного анализа в [Analytics]. Не придумывай недостающий full context.

Проверь gaps по блокам:
- scope;
- audience;
- decision context;
- period;
- grain;
- filters;
- metrics;
- formulas;
- source files;
- required columns;
- mappings;
- currency / units;
- null / duplicate policy;
- reconciliation;
- stage_main_full;
- mart_main_full;
- mart_main_tz / compact;
- QA / acceptance.

Верни:
1. Known facts:
2. Assumptions:
3. Missing data:
4. Blocking questions: максимум 7
5. Non-blocking questions:
6. What can be designed now:
7. What cannot be concluded yet:
8. Suggested next step:",Missing data / clarification checklist
АНАЛИЗ,K14,Для рук.,Text,System → Text,"# АНАЛИЗ — ДЛЯ РУКОВОДИТЕЛЯ / EXECUTIVE MEMO

Бизнес-вопрос:
[описать]

Проверенные данные / расчёты:
[вставить]

Задача:
Подготовь структуру управленческого вывода в [Analytics] на основе verified evidence. Не делай сильный вывод без QA и source mart.

Источник для executive layer:
- mart_main_tz / mart_main_compact для headline numbers;
- mart_main_full для appendix / evidence;
- charts только из slices derived from mart_main_full.

Структура:
1. Executive summary:
2. Key numbers:
   - metric:
   - value:
   - period:
   - source mart:
   - QA status:
3. Main deviations:
4. Main driver / confirmed cause / hypothesis:
5. Risks with risk_basis:
6. Confidence and why not higher:
7. Recommended actions:
   - action:
   - owner:
   - due date:
   - status:
8. Limitations:
9. Appendix / evidence references:

Правила:
- numbers before adjectives;
- hypothesis is not cause;
- observation is not action;
- risk without basis is not publishable;
- action without owner / due date / status is observation;
- visible report language: Russian business-readable;
- technical IDs only in appendix / evidence.

Верни:
- memo_draft:
- evidence_registry_needed:
- unsupported_claims:
- QA status:
- acceptance status:
- next step:",Executive memo from compact mart
АНАЛИЗ,K15,Проект,Website,System → Website,<CHATGPT_ANALYTICS_PROJECT_URL>,
ЗАПРОСЫ,K1,⬆ НАЗАД,Navigation Back,штатный возврат из папки,Built-in folder back,
